,المصنع الحديث للسخانات, 0114486898, 0114469756, m.aldosary@aljazierah.com
534,National Factory of Majali Basin, 0112652002, 0112653003, majaly_2005@hotmail.com
535,National Container Covers Factory Limited, 0126080101, 0126364486, mattar@nafcel.com.sa
536,National Factory for the production of glass containers, 0112652323, 0112651347, info@sanlec.com
537,National factory for manufacturing and printing nylon bags , 0125201336, 025201336, mstfa-yssr@yahoo.com
538,National Dates Packing Factory, 0148239046, 048239046, nationaldates@gmail.com
540,National Factory of Glass Granules, 0126380601, 026380601, ABUMMB@HOTMAIL.COM
541,National polyester thread factory, 0114982250, 0114982246, info@ayed-sa.com
542,National Road Ceramics Factory , 0114982070, 0114984491, nrceramic@hotmail.com
543,National Powder Soap Factory, 0122686089, 022686089, MAZEN@SIDCO.COM.SA
545,National Plastic Factory, 0126080111, 0126373764, info@nationalpipe.co
546,National Plastic Factory, 0126080111, 0126373764, plastica@anet.net.sa
547,The national factory for central air conditioning openings and filters , 0126612265, 026612265, akh@refhouse.com
548,The national factory for openings and air conditioning filters , 0138121282, 0138121280, gassan@refhouse.com
550,National Road Breaker Factory, 0138471830, 0138471834, vip.cx9@hotmail.com
551,المصنع الوطني لقطع الغيار من المطاط, 0138344935, 0138095677, alshahab@icc.net.sa
552,المصنع الوطني للاستانلس ستيل والمنتجات المعدنية, 0112652964, 0112653066, wasssteel1@hotmail.com
553,National Furniture Factory, 0135341130, 035341130, nnflat@hotmail.com
555,National Food Factory, 0112953434, 0112954848, info@nfffc.com.sa
557,National dry ice and carbon dioxide plant, 0114980919, 0114980923, ndifco2@yahoo.com
558,The national factory for packaging covers and plastic accessories , 0138121315, 0138121506, nationalfactory1@gmail.com
560,National Capacitor Factory, 0114980595, 0114984074, ban-ban@hotmail.com
561,National Foodstuff Factory - Oasis, 0112650525, 0114481364, gs-razak@wataniaind.com
564,National Factory for Metal Processing and Improvement, 0138577777, 0138571900, jkjm@hotmail.com
565,National Factory for Fiberglass Products, 0112923232, 0112914474, masalmehh@gmail.com
566,Modern presses, 0138946768, 038946768, mppkhobar@yahoo.com
567,Cooperative Office for Propagation and Guidance, 0126365051, 0126365051, aboaliatta_dc@yahoo.com
568,Cooperative Office for Propagation and Guidance, 0125206557, 025206557, info@islamicstart.net
569,Cooperative Office for Propagation Guidance and Community Awareness , 0114982225, 0114982228, mhsk4982228@jawap.com
570,General Organization for Technical Education and Vocational Training., 0114039390, 0114065876, nalrayes@tvtc.gov.sa
572,Saudi Packaging Services Corporation, 0114980308, 0114984659, ahmedy@amkest.com
573,Eastern Corporation for the manufacture of steel lifting platforms and steel sheets, 0138121115, 0138121243, eppc_dammam@yahoo.com
575,General Establishment of silos and grain (Jeddah factory) , 0126482770, 0126471171, ali.sangoof@gssmo.gov.sa
576,The Arab Establishment for the manufacture of aluminum kitchens and metal furniture, 0114500050, 0114980899, a_sudaery@hotmail.com
577,National Industrial and Agricultural Sulfur Corporation, 0138121512, 0138127385, neais@awalnet.net.sa
583,Amara Plastic, 0114151888, 0112477888, amarhfactory@hotmail.com
584,Adeeb for the manufacture of interior and exterior paintings, 0114480147, 0114481326, info@adeeb.com
585,Bahmadin Trading & Industry (Paper Bags Factory), 0126369604, 026369604, bahamdain-co@YAHOO.COM
586,Medical biomedical medications , 0112013355, 0112013355, sudairstud@gmail.com
587,Al - Shahini Refrigerator Al - Shahizini Trading Group, 0126080093, 026080093, scjed@shahini.com
588,Engineering and Technical Services House, 0138144501, 0138144502, aga@etscononcultants.com
589,Dakeen for detergents, 0561707521, 0112702116, info.dakeen@gmail.com
590,RICHEL & DE MASARI SAUDI ARABIA , 0114532924, 0114553671, ksa@rdm.com
591,Saleh Ali Saleh Al - Qafari, 0163220404, 063220404, saleh@zinjer.com
592,Samir Saeed Al Akhras Plastic Products , 0138121488, 0138121864, ss_al_akhras@yahoo.com
593,Zamil Plastics Middle East Plastic Company, 0138121114, 0138121477, saad.alessa@zamilplastic.com
594,Saudi Master of Bakers Co. Ltd., 0126080464, 026080464, sasip@saudi.switzgroup.com
597,Ibrahim Mohammed Al Manea & Brothers Co , 0138122169, 0138122169, khalid.alnogoumi@almanahospital.com.sa
598,ABDEL KAREHIM ABDULLAH MUNIF HOLDING COMPANY, 0112795101, 0112795101, mahmooud.asklany@hotmail.com
599,Adnan Atwa Sons Trading & Industry Co, 0126364852, 026364852, atwahfact@yahoo.com
600,Mohamed Ali Saad El Din Sons Co. Ltd., 0112654334, 0112654744, ali@saadeddin.com
603,Gulf Union Plastic Industries Co, 0112652855, 0112652779, abrahim@gwf-union.com
607,Union Container Manufacturing Co. Ltd., 0126083535, 026083535, sakhr@ccmc.com.sa
608,Union Wire Factory Co, 0112655556, 0112651668, info@unitedwires.com.sa
609,Union Wire Factory Co , 0112655556, 0112651668, a.karim@unitedwires.com.sa
612,Al - Sagheer Wire Drawing Factory, 0112655556, 0112651668, info@unitedwires.com.sa
613,Union Wire Factory Company Jeddah Branch Saudi Wire Mesh Factory and Wire Mesh, 0126350980, 026350980, info@unitedwires.com.sa
614,Ahmed Omar Diab & Co. For Plastic Industry, 0138120992, 0138120992, an_diab@hotmail.com
616,ARMSAL AL ​​ZAMIL MIDDLE EAST CO. LTD, 0138471888, 0138471363, ramzi@zamilindustrial.com
617,S & T Gulf Co. Ltd. , 0138452661, 0138452777, jsna@hisnt.com
618,Hempel Paints Company Saudi Arabia, 0138471919, 0138471816, yual@sa.hempel.com
619,NAFA BUSINESS CO. LTD, 0114981090, 0114984336, ent@nafa.net
621,FMC Technologies Saudi Arabia Limited , 0138121397, 0138640616, mohammed.altaweel@shoaibigroup.com
622,Axins Catalyst Arabia Ltd., 0138047909, 0138047952, mohammed.alhassar@axesarabia.com
623,Al-Azman Co. For Iron Galvanization, 0138355401, 0138355451, chacko@age.ae
624,Al - Eqbal Company for manufacturing reflective materials, 0114489182, 0114489091, altitikhaled@ekbalco.com
625,Al - Eqbal Company for manufacturing reflective materials, 0114466268, 0114489091, altitikhaled@ekbalco.com
626,Saudi Lighting Company Limited, 0112651010, 0112652194, lami@saudilighting.com
629,National Lighting Company, 0138122250, 0138122250, ezzat@nlc-sa.com
630,National Lighting Co. Ltd, 0138122020, 0138122250, a.amer@nic-sa.com
632,Al - Eman Contracting & Trading Co , 0126204761, 026204761, alemaan_trd@gmail.com
633,Al Atfaq Steel Industries Co, 0138579922, 0138579014, Administration@altuwairqi.com
636,Al - Ahsa Plastic Products Co , 0135332432, 035332432, ahplastic@ahgroups.com
639,Company of ceilings and walls isolated for industry , 0126378000, 0126364566, info@hesco-sa.com
641,Saudi Arabian Dyes Company Limited, 0138121044, 0138121169, munir.hammad@akzonobl.com
642,Arab Feed Company, 0138471334, 0138471665, saudifeedco@yahoo.com
643,Modern Columns Co. Ltd. , 0114480501, 0114482924, m.swayeh@safagrp.com
645,Fiber Industrial Co. Ltd., 0138121206, 0138121836, nasser@sdec.com.sa
647,Al Amal Plastic Industries Co, 0126080010, 0126376819, info@alamalplastic.com
650,First Company for Communications and Industry, 0112654000, 0112652719, obyan@ftc.com.sa
652,Al Babtain Plastic & Insulating Materials Co. Ltd., 0138471609, 0138473052, info@albabtainplastic.com
654,Al Babtain Power & Communications Co. , 0112650003, 0112651983, abei@albabtain.com.sa
655,Al - Batterjee Company for the production of raw materials for plastics, 0126080404, 026080404, group@batterjee.com
656,Al - Batterjee Packing and Packaging Company, 0126094035, 026094035, group@batterjee.com
657,Golden Oil Oil Company, 0112694568, 0112694568, tariqahmedk@outlook.com
658,Red Sea Paints Co. Ltd. , 0126350535, 0126362483, saeed.al-amoudi@jotun.com
659,International Biscuit Company, 0114198278, 014198278, malmumtan@internationalbiscuits.com
660,Plastic Cards Company, 0138123496, 0138123491, info@unicardsa.com
661,ALBALAD FIRE FIGHTING SYSTEMS LTD, 0138121023, 0138121597, kamdboustany@aol.com
663,Al Bilad Concrete Pipes Co. Ltd., 0114793531, 0114771372, info@albiladpipes.com
664,United Plastic Company, 0112652500, 0112652600, fahad@united-perlite.com
665,Al Bandary International Co. Ltd., 138871500, 138871600, info@bandariyah.com
666,Gulf Real Estate Company, 0138662222, 0138949133, amz.alsubaie@wpl-ksa.com
668,Commercial Facilities Company, 0114789900, 0114769920, eng.ismail@gmail.com
669,National Manufacturing Co. for Aluminum Drawing & Drawing Ltd., 0126552796, 0126590044, extrusion@dural-sa.com
670,Technology Development Company, 0126380834, 0126380834, mohammedmalki@electroi.com
673,Saudi Modern Packaging Co. Ltd., 0126081074, 0126081082, info@printopack.com.sa
676,Saudi Modern Packaging Co. Ltd., 0122637035, 022637035, ibrahim@marbae-holding.com
678,Flex Packaging Co. Ltd., 0126372032, 0126369104, ali.assiri@sppc.com.sa
680,Medical Progress Company, 0112205584, 0112205584, almutairyeid@gmail.com
681,Quaternary Technology Co. Ltd., 0126371755, 0126371755, kareem@rasass.com.sa
682,The company of excellence for the manufacture of cardboard boxes posters and posters, 0126712863, 026712863, info@altamayuz.org
684,Al - Tamimi Adhesive Tape Manufacturing Company, 0138474050, 0138471725, tamimi.ho@almimi.com
685,Saudi Technical Supply & Services Company, 0114980067, 0114980450, info@alhokair.com
686,Al Tawfiq Plastic Industries & Woven Bags Co. Ltd., 0126081428, 026081428, fahad@apws.com.sa
688,Aljomaih and Shell Lubricants Company , 0112650888, 0112650949, admin@aljomaihshell.com
690,Al Jwan Al Mutawra Trading & Contracting Co. Ltd., 0122862235, 022862235, mutawaa55@yahoo.com
691,Al-Haddadah Co. Ltd., 0126375428, 026375428, amjad@hidada.com.sa
694,Company of sponge iron , 0138579922, 0138579014, ali.altarouti@altuwairqi.com
695,Spongy Iron Co. Ltd., 0138121143, 0138122991, Administration@altuwairqi.com
697,El Hadara Co. For Wood Industries, 0138912282, 0138123437, hadarah@mfsico.com
698,El Hadara Co. For Wood Industries, 0138120327, 0138123583, director@hadarawood.com
699,Al - Hout Trading Company for fish and shrimp production, 0126352450, 0126082140, alhoot@boumarah.com.sa
700,Global Marine Services Company, 0138351222, 038351222, globemarim@globe.ksa.com
701,INDUSTRIAL & MECHANICAL SERVICES CO. LTD , 0138578766, 0138575856, fadil@imsc.com.sa
702,Kuwait Petroleum Company, 0138123670, 0138123690, aalghtani@alkhorayef.com
704,Saudi Ceramic Company, 0112650265, 0112653333, alenzie@saudiceramics.com
710,Al Khalaf Holding Company , 0138286666, 0138272665, mohammed@alkhalafadv.com
712,Gulf Company for Central Air Conditioning, 0112651221, 0112650287, sales @ ggc-ksacom
714,Gulf Company for Chemicals and Oils, 0138121022, 0138121170, hossam@gcir.com.sa
715,Gulf Company for Chemicals and Oils , 0138121022, 0138121170, malik@gcir.com.sa
717,Gulf Elevators & Escalators Company, 0126080588, 0126080897, hatimalharthy@yahoo.com
718,Gulf Elevators & Escalators Company, 0126080588, 026080897, abdullah.alghamdi@gulfelevators.com
719,Tents & Umbrellas Co. Ltd., 0112425640, 0112425641, alabuo@yahoo.com
720,Al Dan Company for Plastic Industries, 0126080077, 026080077, info@aldaan.com
721,Asphalt Emulsifier Company, 0138121868, 0138827239, hamdi@alderbas.com
722,Dr. Samir Abdul Wahab Bahrawi & Co. Medical Services Limited, 0126695024, 026695024, S.bahrawi@sabamedical.com
723,Saudi Paints Co. Ltd., 0114465555, 0114460611, Paintco@Paintco.net
724,Saudi Paints Co. Ltd. - Pentco, 0114465555, 0114460611, Paintco@Paintco.net
727,Excellent Paints Company, 0126105990, 026105990, banawer@premierpaints.com
728,Paints Solvents & Pastes Company, 0112650353, 0112650433, amar@bbcpaints.com.sa
729,Al-Thiab Marketing Co. Ltd. , 0112411113, 0112414390, altheyabm@zajil.net
730,Al Rajhi Banking Company , 0112651819, 0112652215, 00000@00000000.com
731,Al Rashed Pico Co. Ltd., 0138123940, 0138123917, info@alrashed-steet.com
732,Al-Rashed Foods Co. Ltd., 0112651394, 0112651392, alrashedfood@zagil.net
733,Al-Rashed Foods Co. Ltd. , 0126365868, 026365868, marwan.harbi@alrashedfood.com
736,Arab Pioneer for Industry and Trading, 0112651345, 0112651346, alraed@alraed.com.sa
737,Al Raed Food Products Co, 0112651345, 0112651346, food-products@alraed.com.sa 
738,Saudi Spring Food Company, 0114980000, 0114982064, grm@alrabie.com
742,Saudi Marble Company, 0126354781, 026354781, info@cac03.com.sa
743,Leading Pharmaceutical Industries Co. Ltd., 0122681244, 022681244, gwmestablishment@googlemail.com
744,Al Rowad National Plastic Co. Ltd., 0138121795, 038121795, info@alrowad.biz
746,Al Rowad Fiberglass Company, 0114465101, 0114469001, bifibergalass@zajel.net
747,Al Rowad Fiberglass Company, 0114465101, 0114469001, farhanzy@yahoo.com
748,Riyadh International Food Company , 0112015555, 0112052233, gmrf@riyadhfoods.com
749,Riyadh Steel Rolling Company, 0114981150, 0114985701, yassergoweda@yahoo.com
750,Zamil Real Estate Company , 0112082000, 0112085000, alzamelco_mhj@yahoo.com
751,Zamil Industrial Investment Company, 0138108236, 0138471302, ramzi@zamilindustrial.com
752,Zamil Tower and Galvanization Company, 0138411155, 0138471291, hdjh@h.com
753,Zamil Plastic Industries, 0138121477, 0138121477, khalid.alqhamdi@zamilplastic.com
754,Zamil Architectural Industries, 0138471555, 0138472823, ibrahim@zamilal.com
758,Zamil Steel Engineering Company, 0138471840, 0138471302, ramzi@zamilindustrial.com
759,Zamil Air Conditioners & Appliances , 0138473333, 0138471302, ramzi@zamilindustrial.com
761,Zamil Steel & Construction Company, 0138471840, 0138471291, hdjh@h.com
764,Zamil Equipment Processing Company, 0138471291, 0138471291, ramzi@zamilinqdustrial.com
765,United Flower Oil Company, 0126370081, 026370081, M.MOHAMMED@UNITEDFLOWERS.BIZ
766,Al Saadi Grunfeldder United Company, 0126379237, 026379237, albert.blaya@cgs.com.sa
769,Saudi Serbo Company, 0114983835, 0114981095, sauiserpo@gmail.com
771,Saudi Silica Company, 0112651016, 0112651295, info@saudicarbonate.com
772,Middle East Fiber Optic Cable Co, 0112650777, 0112650203, h_alsanae@mefcf.com
776,Middle East Co. For Electrical Breakers, 0114982763, 0114982983, riyad@advancedeco.com
777,Middle East Specialized Cables Company, 0112650555, 0112650614, saad.shehri@mesccables.com.com
781,MIDDLE EAST MACHINERY CO. LTD, 0112653137, 0112651817, gm@memco.com.sa
782,Middle East Battery Company, 0138121221, 0138121246, ali.alawdah@jci.com
783,MIDDLE EAST PLASTIC INDUSTRIES CO. LTD, 01206081926, 01206081927, mmetwaly@me-pi.com
784,MIDDLE EAST AIR CONDITIONING CO. LTD, 0138471302, 0138471302, ramzi@zamilindustrial.com
785,Al Sharq Plastic Industries Co, 0112655555, 0112654444, ronazi@savola.com
788,Al Shamrani Co. (Drag & Drop Trailers Factory), 0126080797, 026080797, shamrany_jed@hotmail.com
792,Al Saghir Trading & Contracting Co, 0112652888, 0112651019, moh.alheeh@alsaghyir.net
796,Saudi Tin Company Limited , 0126363733, 0126364722, a-alshehri@saudican.com.sa
798,Electronic and Electrical Industries Company , 0138123725, 0138123735, fahad.alkhaledi@eeic.com.sa
800,Modern Industries Company, 0138122220, 0138121186, 0138121186
801,Modern Industries Company , 0138122220, 0138121186, muaibid.ya@pg.com
803,National Glass Industries Co. - Glass, 0112652323, 0112651347, yas@zoajaj-glass.com
806,Saudi Pipe Industries Co. Ltd., 0126378373, 026378373, hesham@winteksa.com
809,Saudi Industries Company for Windows, 0126375719, 0126378373, a.omar5@yahoo.com
811,United Food Industries Company, 0138121103, 0138121168, contact@unitedgroup.com.sa
815,Construction Chemical Industries Co. Ltd., 0138471779, 0138471781, info@bcic.com.sa
816,Developed Industries Co. For Iron Works, 0126082233, 026082233, mhdalkadi@gmail.com
817,Metallurgical Silver and Gold Industries Company, 0114981276, 0114983148, mesigoco@yahoo.com
818,Al Tuwairqi Holding Company, 0138579922, 0138122991, Administration@altuwairqi.com
819,Al - Tuwairqi Energy Company , 0138125277, 0138122991, Administration@altuwairqi.com
820,Al Tayyar Investment Company, 0138822160, 0138822555, al-tayar@hotmail.com
821,Al Tayyar Plastic Industries Co, 0126380726, 0126380726, amer@altayar.com.sa
827,Al - Ashoori Trading & Industry Co, 0112650630, 0112650596, ashco@alashoury.com.sa
828,Al - Abdullatif Industrial Investment Company, 0112658888, 0112659999, jaber@carpets.com
834,Obeikan Printing & Publishing Co, 0112651144, 0112650785, zayed@obeikan.com.sa
836,Obeikan Company for Technical Textiles, 0112653533, 0112653438, zayed@obeikan.com.sa
837,Saudi Counters Company, 0114985132, 0114986003, tawfiq-alsadoon@yahoo.com
838,Modern Electric Co. Ltd., 0138121555, 0138123543, mohamed@asry.com.sa
